_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
1,1,2019,4,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,M,INC,GEN,317878,207296,95308,65.21,45.98,0.68
2,2,2019,4,Andhra Pradesh,ARUKU,GODDETI. MADHAVI,F,YSRCP,ST,1449334,1066978,557561,73.62,52.26,20.75
3,3,2019,4,Andhra Pradesh,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,M,TDP,GEN,1540170,1157329,534544,75.14,46.19,0.57
4,4,2019,4,Andhra Pradesh,VIZIANAGARAM,BELLANA CHANDRA SEKHAR,M,YSRCP,GEN,1499300,1217890,578418,81.23,47.49,3.94
5,5,2019,4,Andhra Pradesh,VISAKHAPATNAM,M V V SATYANARAYANA,M,YSRCP,GEN,1825769,1239754,436906,67.9,35.24,0.36
6,6,2019,4,Andhra Pradesh,ANAKAPALLI,DR.BEESETTI VENKATA SATYAVATHI,F,YSRCP,GEN,1517497,1238491,586226,81.61,47.33,7.2
7,7,2019,4,Andhra Pradesh,KAKINADA,VANGA GEETHAVISWANATH,F,YSRCP,GEN,1563226,1234655,537630,78.98,43.54,2.08
8,8,2019,4,Andhra Pradesh,AMALAPURAM,CHINTA ANURADHA,F,YSRCP,SC,1458788,1230903,485313,84.38,39.43,3.25
9,9,2019,4,Andhra Pradesh,RAJAHMUNDRY,MARGANI BHARAT,M,YSRCP,GEN,1436010,1250427,582024,87.08,46.55,9.73
10,10,2019,4,Andhra Pradesh,NARSAPURAM,KANUMURU RAGHU RAMA KRISHNA RAJU,M,YSRCP,GEN,1438922,1174441,447594,81.62,38.11,2.72
11,11,2019,4,Andhra Pradesh,ELURU,KOTAGIRI SRIDHAR,M,YSRCP,GEN,1594366,1327923,676809,83.29,50.97,12.5
12,12,2019,4,Andhra Pradesh,MACHILIPATNAM,BALASHOWRY VALLABHANENI,M,YSRCP,GEN,1472844,1241605,571436,84.3,46.02,4.84
13,13,2019,4,Andhra Pradesh,VIJAYAWADA,KESINENI SRINIVAS (NANI),M,TDP,GEN,1652662,1277711,575498,77.31,45.04,0.68
14,14,2019,4,Andhra Pradesh,GUNTUR,JAYADEV GALLA,M,TDP,GEN,1704431,1351474,587918,79.29,43.5,0.31
15,15,2019,4,Andhra Pradesh,NARASARAOPET,LAVU SRI KRISHNA DEVARAYALU,M,YSRCP,GEN,1669308,1437675,745089,86.12,51.83,10.71
16,16,2019,4,Andhra Pradesh,BAPATLA,NANDIGAM SURESH,M,YSRCP,SC,1464192,1266492,598257,86.5,47.24,1.27
17,17,2019,4,Andhra Pradesh,ONGOLE,MAGUNTA SREENIVASULU REDDY,M,YSRCP,GEN,1550067,1342368,739202,86.6,55.07,16.01
18,18,2019,4,Andhra Pradesh,NANDYAL,POCHA . BRAHMANANDA REDDY,M,YSRCP,GEN,1600459,1299093,720888,81.17,55.49,19.25
19,19,2019,4,Andhra Pradesh,KURNOOL,AYUSHMAN DOCTOR SANJEEV KUMAR,M,YSRCP,GEN,1571954,1182011,602554,75.19,50.98,12.6
20,20,2019,4,Andhra Pradesh,ANANTAPUR,TALARI RANGAIAH,M,YSRCP,GEN,1662747,1342306,695208,80.73,51.79,10.54
21,21,2019,4,Andhra Pradesh,HINDUPUR,KURUVA GORANTLA MADHAV,M,YSRCP,GEN,1576770,1338514,706602,84.89,52.79,10.52
22,22,2019,4,Andhra Pradesh,KADAPA,YEDUGURI SANDINTI AVINASH REDDY,M,YSRCP,GEN,1568388,1228592,783799,78.33,63.8,31.01
23,23,2019,4,Andhra Pradesh,NELLORE,ADALA PRABHAKARA REDDY,M,YSRCP,GEN,1672306,1287036,683830,76.96,53.13,11.54
24,24,2019,4,Andhra Pradesh,TIRUPATI,BALLI DURGA PRASAD RAO,M,YSRCP,SC,1650003,1313515,722877,79.61,55.03,17.39
25,25,2019,4,Andhra Pradesh,RAJAMPET,P.V.MIDHUN REDDY,M,YSRCP,GEN,1545389,1224354,702211,79.23,57.35,21.91
26,26,2019,4,Andhra Pradesh,CHITTOOR,N. REDDEPPA,M,YSRCP,SC,1563175,1319472,686792,84.41,52.05,10.4
27,27,2019,4,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,M,BJP,GEN,461214,314593,200314,68.21,63.67,49.08
28,28,2019,4,Arunachal Pradesh,ARUNACHAL EAST,TAPIR GAO,M,BJP,GEN,337034,293781,153883,87.17,52.38,23.81
29,29,2019,4,Assam,KARIMGANJ,KRIPANATH MALLAH,M,BJP,SC,1338005,1060072,473046,79.23,44.62,3.62
30,30,2019,4,Assam,SILCHAR,RAJDEEP ROY,M,BJP,GEN,1191289,949696,499414,79.72,52.59,8.59
31,31,2019,4,Assam,AUTONOMOUS DISTRICT,HOREN SING BEY,M,BJP,ST,795085,617735,381316,77.69,61.73,38.79
32,32,2019,4,Assam,DHUBRI,BADRUDDIN AJMAL,M,AIUDF,GEN,1856168,1685005,718764,90.78,42.66,13.43
33,33,2019,4,Assam,KOKRAJHAR,NABA KUMAR SARANIA,M,IND,ST,1765423,1479485,484560,83.8,32.75,2.55
34,34,2019,4,Assam,BARPETA,ABDUL KHALEQUE,M,INC,GEN,1676854,1458549,645173,86.98,44.23,9.62
35,35,2019,4,Assam,GAUHATI,QUEEN OJA,F,BJP,GEN,2178617,1763757,1008936,80.96,57.2,19.59
36,36,2019,4,Assam,MANGALDOI,DILIP SAIKIA,M,BJP,GEN,1795529,1506107,735469,83.88,48.83,9.2
37,37,2019,4,Assam,TEZPUR,PALLAB LOCHAN DAS,M,BJP,GEN,1494878,1190196,684166,79.62,57.48,20.4
38,38,2019,4,Assam,NOWGONG,PRADYUT BORDOLOI,M,INC,GEN,1790683,1493475,739724,83.4,49.53,1.12
39,39,2019,4,Assam,KALIABOR,GAURAV GOGOI,M,INC,GEN,1731610,1424687,786092,82.28,55.18,14.74
40,40,2019,4,Assam,JORHAT,TOPON KUMAR GOGOI,M,BJP,GEN,1360328,1057965,543288,77.77,51.35,7.81
41,41,2019,4,Assam,DIBRUGARH,RAMESWAR TELI,M,BJP,GEN,1312195,1015748,659583,77.41,64.94,35.89
42,42,2019,4,Assam,LAKHIMPUR,PRADAN BARUAH,M,BJP,GEN,1704447,1283589,776406,75.31,60.49,27.31
43,43,2019,4,Bihar,VALMIKI NAGAR,BAIDYANATH PRASAD MAHTO,M,JD(U),GEN,1664048,1032090,602660,62.02,58.39,34.36
44,44,2019,4,Bihar,PASCHIM CHAMPARAN,DR. SANJAY JAISWAL,M,BJP,GEN,1631130,1012936,603706,62.1,59.6,29.02
45,45,2019,4,Bihar,PURVI CHAMPARAN,RADHA MOHAN SINGH,M,BJP,GEN,1656444,999400,577787,60.33,57.81,29.38
46,46,2019,4,Bihar,SHEOHAR,RAMA DEVI,F,BJP,GEN,1684794,1004559,608678,59.63,60.59,33.88
47,47,2019,4,Bihar,SITAMARHI,SUNIL KUMAR PINTU,M,JD(U),GEN,1750771,1038849,567745,59.34,54.65,24.12
48,48,2019,4,Bihar,MADHUBANI,ASHOK KUMAR YADAV,M,BJP,GEN,1791166,963708,595843,53.8,61.83,47.21
49,49,2019,4,Bihar,JHANJHARPUR,RAMPRIT MANDAL,M,JD(U),GEN,1850672,1060562,602391,57.31,56.8,30.45
50,50,2019,4,Bihar,SUPAUL,DILESHWAR KAMAIT,M,JD(U),GEN,1688969,1110805,597377,65.77,53.78,24.02
51,51,2019,4,Bihar,ARARIA,PRADEEP KUMAR SINGH,M,BJP,GEN,1804954,1169630,618434,64.8,52.87,11.73
52,52,2019,4,Bihar,KISHANGANJ,DR. MOHAMMAD JAWED,M,INC,GEN,1659461,1101603,367017,66.38,33.32,3.13
53,53,2019,4,Bihar,KATIHAR,DULAL CHANDRA GOSWAMI,M,JD(U),GEN,1652061,1117734,559423,67.66,50.05,5.12
