ID,State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Won
14,Andhra Pradesh,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Won
30,Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Won
46,Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Won
68,Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Won
82,Andhra Pradesh,Bapatla (SC),KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Won
98,Andhra Pradesh,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Won
118,Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,Won
132,Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Won
163,Andhra Pradesh,Hindupur,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,Won
177,Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,Won
192,Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,Won
208,Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,Won
228,Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Won
244,Andhra Pradesh,Nandyal,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92,Won
276,Andhra Pradesh,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46,Won
298,Andhra Pradesh,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88,Won
314,Andhra Pradesh,Nellore,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7,Won
329,Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35,Won
355,Andhra Pradesh,Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82,Won
368,Andhra Pradesh,Rajampet,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38,Won
387,Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05,Won
401,Andhra Pradesh,Thirupathi(SC),GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73,Won
425,Andhra Pradesh,Vijayawada,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21,Won
443,Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,Won
477,Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,Won
493,Arunachal Pradesh,Arunachal East,TAPIR GAO,Bharatiya Janata Party,140715,4866,145581,45.01,Won
500,Arunachal Pradesh,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,196415,9002,205417,51.38,Won
509,Assam,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Won
524,Assam,Darrang-Udalguri,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Won
536,Assam,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99,Won
550,Assam,Dibrugarh,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27,Won
554,Assam,Diphu,AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,Won
560,Assam,Guwahati,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,Won
569,Assam,Jorhat,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04,Won
574,Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Won
599,Assam,Kaziranga,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Won
611,Assam,Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,Won
624,Assam,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Won
634,Assam,Nagaon,PRADYUT BORDOLOI,Indian National Congress,786620,2230,788850,50.89,Won
648,Assam,Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89,Won
657,Assam,Sonitpur,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21,Won
666,Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91,Won
676,Bihar,Arrah,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),526564,2818,529382,48.28,Won
691,Bihar,Aurangabad,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22,Won
701,Bihar,Banka,GIRIDHARI YADAV,Janata Dal  (United),505674,1004,506678,49.96,Won
712,Bihar,Begusarai,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15,Won
723,Bihar,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal  (United),534923,1108,536031,50.38,Won
736,Bihar,Buxar,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82,Won
751,Bihar,Darbhanga,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33,Won
760,Bihar,Gaya,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36,Won
775,Bihar,Gopalganj,DR. ALOK KUMAR SUMAN,Janata Dal  (United),510329,1537,511866,48.15,Won
787,Bihar,Hajipur,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29,Won
802,Bihar,Jahanabad,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88,Won
818,Bihar,Jamui,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98,Won
826,Bihar,Jhanjharpur,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73,Won
837,Bihar,Karakat,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),378922,1659,380581,36.89,Won
851,Bihar,Katihar,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41,Won
861,Bihar,Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73,Won
874,Bihar,Kishanganj,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35,Won
887,Bihar,Madhepura,DINESH CHANDRA YADAV,Janata Dal  (United),639758,891,640649,52.96,Won
896,Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85,Won
909,Bihar,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22,Won
915,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),547814,2332,550146,48.3,Won
928,Bihar,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71,Won
955,Bihar,Nalanda,KAUSHALENDRA KUMAR,Janata Dal  (United),557054,2368,559422,48.88,Won
985,Bihar,Nawada,VIVEK THAKUR,Bharatiya Janata Party,408537,2071,410608,47.2,Won
994,Bihar,Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43,Won
1003,Bihar,Patliputra,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86,Won
1026,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,587212,1058,588270,54.7,Won
1044,Bihar,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,566867,689,567556,47.46,Won
1052,Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5,Won
1065,Bihar,Samastipur,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579095,691,579786,52.97,Won
1078,Bihar,Saran,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18,Won
1093,Bihar,Sasaram,MANOJ KUMAR,Indian National Congress,509977,3027,513004,46.76,Won
1104,Bihar,Sheohar,LOVELY ANAND,Janata Dal  (United),475709,903,476612,45.15,Won
1117,Bihar,Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal  (United),514940,779,515719,47.14,Won
1132,Bihar,Siwan,VIJAYLAKSHMI DEVI,Janata Dal  (United),385625,883,386508,38.73,Won
1146,Bihar,Supaul,DILESHWAR KAMAIT,Janata Dal  (United),592922,2116,595038,48.33,Won
1162,Bihar,Ujiarpur,NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51,Won
